second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
83.0;38;39;1;1.0;1.0;1.0;1.0;0.00429534912109375;102;1.0;1.0;1;0;0;0;1
84.0;43;39;1;0.5;1.0;0.5;1.0;0.00429534912109375;102;0.5;1.0;1;0;0;0;1
84.0;40;39;1;0.5;1.0;0.5;1.0;0.00429534912109375;102;0.5;1.0;1;0;0;0;1
85.0;1;32;1;0.25;0.5;0.010632513;0.063827544;0.0099945068359375;37;0.13909775;0.2781955;0;0;0;1;1
85.0;2;32;1;0.25;0.5;0.05319503;0.063827544;0.0500030517578125;37;0.13909775;0.2781955;0;0;0;3;1
85.0;34;49;1;0.25;0.5;0.32978645;0.9361725;0.30999755859375;96;0.36090225;0.7218045;1;0;0;1;1
85.0;35;49;1;0.25;0.5;0.606386;0.9361725;0.5699996948242188;96;0.36090225;0.7218045;1;0;0;0;1
86.0;21;16;4;0.36363637;0.36363637;0.9104762;0.9104762;0.182342529296875;382;0.3901941;0.3901941;0;0;4;0;1
86.0;40;39;2;0.18181819;0.27272728;0.02144762;0.04289524;0.00429534912109375;204;0.2083759;0.31256384;2;0;0;0;1
86.0;16;21;3;0.27272728;0.27272728;0.030628571;0.030628571;0.006134033203125;195;0.19918284;0.19918284;0;0;0;3;1
86.0;41;49;1;0.09090909;0.09090909;0.016;0.016;0.003204345703125;96;0.098059244;0.098059244;1;0;0;0;1
86.0;43;39;1;0.09090909;0.27272728;0.02144762;0.04289524;0.00429534912109375;102;0.10418795;0.31256384;1;0;0;0;1
87.0;45;41;1;1.0;1.0;1.0;1.0;0.00429534912109375;102;1.0;1.0;1;0;0;0;1
88.0;43;39;1;0.5;0.5;0.008517527;0.008517527;0.00429534912109375;102;0.5151515;0.5151515;1;0;0;0;1
88.0;39;49;1;0.5;0.5;0.9914825;0.9914825;0.5;96;0.4848485;0.4848485;1;0;0;1;1
89.0;1;32;1;0.2;0.4;0.012554988;0.15073653;0.0099945068359375;37;0.12542373;0.25084746;0;0;0;2;1
89.0;8;4;1;0.2;0.2;0.0022234789;0.0022234789;0.00177001953125;23;0.0779661;0.0779661;0;0;0;1;1
89.0;6;32;1;0.2;0.4;0.13818154;0.15073653;0.1100006103515625;37;0.12542373;0.25084746;0;0;0;2;1
89.0;40;35;1;0.2;0.2;0.0053957696;0.0053957696;0.00429534912109375;102;0.3457627;0.3457627;1;0;0;0;1
89.0;38;49;1;0.2;0.2;0.8416442;0.8416442;0.6699981689453125;96;0.32542372;0.32542372;1;0;0;0;1
90.0;45;41;1;1.0;1.0;1.0;1.0;0.00429534912109375;102;1.0;1.0;1;0;0;0;1
91.0;34;49;1;0.125;0.125;0.7760163;0.7760163;0.09000396728515625;96;0.14076246;0.14076246;1;0;0;1;1
91.0;23;16;3;0.375;0.375;0.10636758;0.10636758;0.01233673095703125;289;0.42375368;0.42375368;0;0;3;0;1
91.0;16;23;3;0.375;0.375;0.08051572;0.08051572;0.00933837890625;195;0.28592375;0.28592375;0;0;0;3;1
91.0;45;41;1;0.125;0.125;0.037100382;0.037100382;0.004302978515625;102;0.14956012;0.14956012;1;0;0;0;1
92.0;40;35;1;0.14285715;0.14285715;0.16539365;0.16539365;0.00429534912109375;102;0.17406143;0.17406143;1;0;0;0;1
92.0;26;16;3;0.42857143;0.42857143;0.47532314;0.47532314;0.0123443603515625;289;0.49317408;0.49317408;0;0;3;0;1
92.0;16;26;3;0.42857143;0.42857143;0.3592832;0.3592832;0.00933074951171875;195;0.3327645;0.3327645;0;0;0;3;1
93.0;0;32;1;0.16666667;0.8333333;0.10552022;0.9848912;0.029998779296875;37;0.12891985;0.6445993;0;0;0;3;1
93.0;3;32;1;0.16666667;0.8333333;0.035182353;0.9848912;0.01000213623046875;37;0.12891985;0.6445993;0;0;0;3;1
93.0;4;32;1;0.16666667;0.8333333;0.035155516;0.9848912;0.0099945068359375;37;0.12891985;0.6445993;0;0;0;3;1
93.0;5;32;1;0.16666667;0.8333333;0.070364706;0.9848912;0.0200042724609375;37;0.12891985;0.6445993;0;0;0;1;1
93.0;7;32;1;0.16666667;0.8333333;0.7386684;0.9848912;0.20999908447265625;37;0.12891985;0.6445993;0;0;0;1;1
93.0;40;35;1;0.16666667;0.16666667;0.015108821;0.015108821;0.00429534912109375;102;0.3554007;0.3554007;1;0;0;0;1
94.0;40;49;1;1.0;1.0;1.0;1.0;1.4300003051757812;96;1.0;1.0;1;0;0;0;1
95.0;45;41;1;0.5;0.5;0.5;0.5;0.00429534912109375;102;0.5;0.5;1;0;0;0;1
95.0;40;35;1;0.5;0.5;0.5;0.5;0.00429534912109375;102;0.5;0.5;1;0;0;0;1
96.0;43;49;1;1.0;1.0;1.0;1.0;1.0;96;1.0;1.0;1;0;0;0;1
97.0;1;32;1;0.2857143;0.85714287;0.02874105;1.0;0.04000091552734375;37;0.24489796;0.90612245;0;0;0;3;1
97.0;1;2;1;0.2857143;0.14285715;0.02874105;0.0;0.0;23;0.24489796;0.093877554;0;0;0;1;1
97.0;5;32;1;0.14285715;0.85714287;0.0012717764;1.0;0.00177001953125;37;0.15102041;0.90612245;0;0;0;2;1
97.0;6;32;1;0.14285715;0.85714287;0.007186633;1.0;0.01000213623046875;37;0.15102041;0.90612245;0;0;0;3;1
97.0;7;32;1;0.14285715;0.85714287;0.0071811513;1.0;0.0099945068359375;37;0.15102041;0.90612245;0;0;0;2;1
97.0;8;32;1;0.14285715;0.85714287;0.014373266;1.0;0.0200042724609375;37;0.15102041;0.90612245;0;0;0;3;1
97.0;10;32;1;0.14285715;0.85714287;0.9412461;1.0;1.30999755859375;37;0.15102041;0.90612245;0;0;0;1;1
98.0;23;16;2;0.4;0.4;0.09612403;0.09612403;0.0080413818359375;187;0.4746193;0.4746193;0;0;2;0;1
98.0;38;49;1;0.2;0.2;0.8367533;0.8367533;0.06999969482421875;96;0.24365482;0.24365482;1;0;0;0;1
98.0;16;23;2;0.4;0.4;0.06712266;0.06712266;0.005615234375;111;0.28172588;0.28172588;0;0;0;5;1
99.0;37;49;1;1.0;1.0;1.0;1.0;1.25;96;1.0;1.0;1;0;0;0;1
101.0;1;32;1;0.0625;0.25;0.0039220145;0.08234435;0.01000213623046875;37;0.032173913;0.12869565;0;0;0;4;1
101.0;2;32;1;0.0625;0.25;0.031370133;0.08234435;0.0800018310546875;37;0.032173913;0.12869565;0;0;0;4;1
101.0;10;32;1;0.0625;0.25;0.007841038;0.08234435;0.01999664306640625;37;0.032173913;0.12869565;0;0;0;2;1
101.0;12;32;1;0.0625;0.25;0.03921117;0.08234435;0.09999847412109375;37;0.032173913;0.12869565;0;0;0;1;1
101.0;28;16;3;0.1875;0.1875;0.00483745;0.00483745;0.01233673095703125;289;0.25130436;0.25130436;0;0;3;0;1
101.0;40;49;1;0.0625;0.25;0.015685067;0.90579385;0.04000091552734375;96;0.083478265;0.27304348;1;0;0;0;1
101.0;16;28;3;0.1875;0.1875;0.0036557603;0.0036557603;0.0093231201171875;195;0.16956522;0.16956522;0;0;0;3;1
101.0;44;40;2;0.125;0.125;0.0033685646;0.0033685646;0.0085906982421875;204;0.1773913;0.1773913;2;0;0;0;1
101.0;36;49;1;0.0625;0.25;0.03921117;0.90579385;0.09999847412109375;96;0.083478265;0.27304348;1;0;0;0;1
101.0;42;49;1;0.0625;0.25;0.8508976;0.90579385;2.1700057983398438;26;0.022608696;0.27304348;0;1;0;1;1
101.0;39;49;1;0.0625;0.25;0.0;0.90579385;0.0;96;0.083478265;0.27304348;1;0;0;1;1
104.0;43;49;1;0.2;0.6;0.8892974;0.9753557;0.30999755859375;96;0.19512194;0.58536583;1;0;0;0;1
104.0;45;49;1;0.2;0.6;0.0;0.9753557;0.0;96;0.19512194;0.58536583;1;0;0;0;1
104.0;34;49;1;0.2;0.6;0.08605822;0.9753557;0.029998779296875;96;0.19512194;0.58536583;1;0;0;1;1
104.0;44;40;1;0.2;0.2;0.012322172;0.012322172;0.00429534912109375;102;0.20731707;0.20731707;1;0;0;0;1
104.0;46;43;1;0.2;0.2;0.012322172;0.012322172;0.00429534912109375;102;0.20731707;0.20731707;1;0;0;0;1
105.0;3;32;1;0.16666667;0.6666667;0.06306826;0.94583154;0.01000213623046875;37;0.10511363;0.42045453;0;0;0;4;1
105.0;4;32;1;0.16666667;0.6666667;0.06306826;0.94583154;0.01000213623046875;37;0.10511363;0.42045453;0;0;0;4;1
105.0;5;32;1;0.16666667;0.6666667;0.12608843;0.94583154;0.01999664306640625;37;0.10511363;0.42045453;0;0;0;3;1
105.0;7;32;1;0.16666667;0.6666667;0.69360656;0.94583154;0.1100006103515625;37;0.10511363;0.42045453;0;0;0;3;1
105.0;42;43;1;0.16666667;0.16666667;0.027084235;0.027084235;0.00429534912109375;102;0.28977272;0.28977272;1;0;0;0;1
105.0;48;45;1;0.16666667;0.16666667;0.027084235;0.027084235;0.00429534912109375;102;0.28977272;0.28977272;1;0;0;0;1
106.0;46;43;2;0.6666667;0.6666667;0.006666706;0.006666706;0.0085906982421875;204;0.8869565;0.8869565;2;0;0;0;1
106.0;48;49;1;0.33333334;0.33333334;0.9933333;0.9933333;1.2800064086914062;26;0.11304348;0.11304348;0;1;0;1;1
108.0;5;6;1;0.16666667;0.33333334;0.01827821;0.036635544;0.00176239013671875;23;0.059125964;0.11825193;0;0;0;1;1
108.0;44;40;1;0.16666667;0.16666667;0.044548187;0.044548187;0.00429534912109375;102;0.2622108;0.2622108;1;0;0;0;1
108.0;48;45;1;0.16666667;0.16666667;0.044548187;0.044548187;0.00429534912109375;102;0.2622108;0.2622108;1;0;0;0;1
108.0;10;6;1;0.16666667;0.33333334;0.018357335;0.036635544;0.00177001953125;23;0.059125964;0.11825193;0;0;0;1;1
108.0;42;43;1;0.16666667;0.16666667;0.044548187;0.044548187;0.00429534912109375;102;0.2622108;0.2622108;1;0;0;0;1
108.0;0;32;1;0.16666667;0.16666667;0.8297199;0.8297199;0.0800018310546875;37;0.095115684;0.095115684;0;0;0;4;1
109.0;0;32;1;0.14285715;0.42857143;0.067878895;0.101818345;0.0800018310546875;37;0.0729783;0.21893491;0;0;0;5;1
109.0;8;32;1;0.14285715;0.42857143;0.016966488;0.101818345;0.01999664306640625;37;0.0729783;0.21893491;0;0;0;4;1
109.0;10;32;1;0.14285715;0.42857143;0.01697296;0.101818345;0.0200042724609375;37;0.0729783;0.21893491;0;0;0;3;1
109.0;46;43;1;0.14285715;0.2857143;0.003644461;0.007288922;0.00429534912109375;102;0.20118344;0.40236688;1;0;0;0;1
109.0;42;43;1;0.14285715;0.2857143;0.003644461;0.007288922;0.00429534912109375;102;0.20118344;0.40236688;1;0;0;0;1
109.0;45;49;1;0.14285715;0.2857143;0.89089274;0.89089274;1.0500030517578125;96;0.18934911;0.37869823;1;0;0;0;1
109.0;38;49;1;0.14285715;0.2857143;0.0;0.89089274;0.0;96;0.18934911;0.37869823;1;0;0;0;1
110.0;42;43;1;0.5;0.5;0.5;0.5;0.00429534912109375;102;0.5;0.5;1;0;0;0;1
110.0;48;45;1;0.5;0.5;0.5;0.5;0.00429534912109375;102;0.5;0.5;1;0;0;0;1
111.0;29;16;2;0.6666667;0.6666667;0.82437545;0.82437545;0.00830841064453125;195;0.8944954;0.8944954;0;0;2;0;1
111.0;6;2;1;0.33333334;0.33333334;0.17562452;0.17562452;0.00177001953125;23;0.10550459;0.10550459;0;0;0;1;1
112.0;29;16;2;0.13333334;0.13333334;0.026704129;0.026704129;0.00833892822265625;196;0.2078473;0.2078473;0;0;2;0;1
112.0;16;29;4;0.26666668;0.26666668;0.043464452;0.043464452;0.01357269287109375;295;0.3128314;0.3128314;0;0;0;4;1
112.0;7;2;3;0.2;0.33333334;0.6461275;0.6461275;0.2017669677734375;69;0.07317073;0.12195122;0;0;0;3;1
112.0;1;2;2;0.13333334;0.33333334;0.0;0.6461275;0.0;46;0.048780486;0.12195122;0;0;0;3;1
112.0;35;38;1;0.06666667;0.06666667;0.013755192;0.013755192;0.00429534912109375;102;0.10816543;0.10816543;1;0;0;0;1
112.0;40;49;1;0.06666667;0.06666667;0.12809674;0.12809674;0.04000091552734375;96;0.10180276;0.10180276;1;0;0;0;1
112.0;48;45;1;0.06666667;0.06666667;0.013755192;0.013755192;0.00429534912109375;102;0.10816543;0.10816543;1;0;0;0;1
112.0;2;32;1;0.06666667;0.06666667;0.12809674;0.12809674;0.04000091552734375;37;0.03923648;0.03923648;0;0;0;5;1
113.0;6;32;1;0.2;0.4;0.49965695;0.8993672;0.0500030517578125;37;0.12671232;0.25342464;0;0;0;4;1
113.0;11;32;1;0.2;0.4;0.3997103;0.8993672;0.04000091552734375;37;0.12671232;0.25342464;0;0;0;1;1
113.0;1;2;1;0.2;0.2;0.017610734;0.017610734;0.00176239013671875;23;0.07876712;0.07876712;0;0;0;4;1
113.0;27;16;2;0.4;0.4;0.083022036;0.083022036;0.00830841064453125;195;0.66780823;0.66780823;0;0;2;0;1
114.0;41;49;1;0.11111111;0.22222222;0.09853226;0.9360471;0.04000091552734375;96;0.12339332;0.24678664;1;0;0;0;1
114.0;27;16;1;0.11111111;0.44444445;0.009941554;0.040968973;0.00403594970703125;94;0.12082262;0.5025707;0;0;1;0;1
114.0;16;27;3;0.33333334;0.33333334;0.02298397;0.02298397;0.00933074951171875;195;0.2506427;0.2506427;0;0;0;3;1
114.0;43;49;1;0.11111111;0.22222222;0.8375148;0.9360471;0.34000396728515625;96;0.12339332;0.24678664;1;0;0;0;1
114.0;25;16;3;0.33333334;0.44444445;0.03102742;0.040968973;0.01259613037109375;297;0.38174808;0.5025707;0;0;3;0;1
115.0;25;16;1;0.2;0.2;0.22963604;0.22963604;0.0040435791015625;94;0.24164525;0.24164525;0;0;1;0;1
115.0;16;25;4;0.8;0.8;0.7703639;0.7703639;0.0135650634765625;295;0.7583548;0.7583548;0;0;0;4;1
116.0;46;49;1;0.33333334;0.33333334;0.7799988;0.7799988;0.3899993896484375;96;0.5647059;0.5647059;1;0;0;0;1
116.0;1;32;1;0.33333334;0.6666667;0.060012817;0.22000122;0.03000640869140625;37;0.21764706;0.43529412;0;0;0;5;1
116.0;4;32;1;0.33333334;0.6666667;0.1599884;0.22000122;0.07999420166015625;37;0.21764706;0.43529412;0;0;0;5;1
117.0;12;32;1;0.5;0.5;0.12000275;0.12000275;0.12000274658203125;37;0.2781955;0.2781955;0;0;0;2;1
117.0;44;49;1;0.5;0.5;0.87999725;0.87999725;0.8799972534179688;96;0.7218045;0.7218045;1;0;0;0;1
118.0;37;36;1;0.2;0.2;0.016720124;0.016720124;0.00429534912109375;102;0.2060606;0.2060606;1;0;0;0;1
118.0;45;49;1;0.2;0.2;0.93424803;0.93424803;0.2400054931640625;96;0.19393939;0.19393939;1;0;0;0;1
118.0;31;16;3;0.6;0.6;0.049031835;0.049031835;0.01259613037109375;297;0.6;0.6;0;0;3;0;1
119.0;42;49;1;0.16666667;0.16666667;0.36225477;0.36225477;0.01000213623046875;96;0.19793814;0.19793814;1;0;0;1;1
119.0;31;16;1;0.16666667;0.16666667;0.14617297;0.14617297;0.00403594970703125;94;0.19381443;0.19381443;0;0;1;0;1
119.0;16;31;4;0.6666667;0.6666667;0.49157226;0.49157226;0.01357269287109375;295;0.6082474;0.6082474;0;0;0;4;1
120.0;3;32;1;0.25;1.0;0.28566757;1.0;0.01999664306640625;37;0.25;1.0;0;0;0;5;1
120.0;5;32;1;0.25;1.0;0.28577656;1.0;0.0200042724609375;37;0.25;1.0;0;0;0;4;1
120.0;7;32;1;0.25;1.0;0.28566757;1.0;0.01999664306640625;37;0.25;1.0;0;0;0;4;1
120.0;9;32;1;0.25;1.0;0.14288828;1.0;0.01000213623046875;37;0.25;1.0;0;0;0;1;1
121.0;9;32;1;0.2;0.8;0.012592451;0.99459225;0.01000213623046875;37;0.148;0.592;0;0;0;2;1
121.0;10;32;1;0.2;0.8;0.037767746;0.99459225;0.029998779296875;37;0.148;0.592;0;0;0;4;1
121.0;13;32;1;0.2;0.8;0.025175296;0.99459225;0.01999664306640625;37;0.148;0.592;0;0;0;1;1
121.0;15;32;1;0.2;0.8;0.9190568;0.99459225;0.7300033569335938;37;0.148;0.592;0;0;0;1;1
121.0;36;35;1;0.2;0.2;0.0054077418;0.0054077418;0.00429534912109375;102;0.408;0.408;1;0;0;0;1
122.0;48;49;1;1.0;1.0;1.0;1.0;1.2400054931640625;96;1.0;1.0;1;0;0;1;1
123.0;46;49;1;1.0;1.0;1.0;1.0;0.5199966430664062;96;1.0;1.0;1;0;0;0;1
124.0;5;6;1;0.14285715;0.14285715;0.011341415;0.011341415;0.00177001953125;23;0.074193545;0.074193545;0;0;0;2;1
124.0;34;38;1;0.14285715;0.14285715;0.027522488;0.027522488;0.00429534912109375;102;0.32903227;0.32903227;1;0;0;0;1
124.0;0;32;1;0.14285715;0.71428573;0.38448378;0.9611361;0.06000518798828125;37;0.11935484;0.5967742;0;0;0;6;1
124.0;6;32;1;0.14285715;0.71428573;0.12812866;0.9611361;0.01999664306640625;37;0.11935484;0.5967742;0;0;0;5;1
124.0;8;32;1;0.14285715;0.71428573;0.19221744;0.9611361;0.029998779296875;37;0.11935484;0.5967742;0;0;0;5;1
124.0;11;32;1;0.14285715;0.71428573;0.06408878;0.9611361;0.01000213623046875;37;0.11935484;0.5967742;0;0;0;2;1
124.0;12;32;1;0.14285715;0.71428573;0.19221744;0.9611361;0.029998779296875;37;0.11935484;0.5967742;0;0;0;3;1
125.0;12;32;1;0.2;0.4;0.03642697;0.2307165;0.029998779296875;37;0.1712963;0.3425926;0;0;0;4;1
125.0;15;32;1;0.2;0.4;0.19428952;0.2307165;0.160003662109375;37;0.1712963;0.3425926;0;0;0;2;1
125.0;1;2;1;0.2;0.4;0.0021400382;0.0042800764;0.00176239013671875;23;0.106481485;0.21296297;0;0;0;5;1
125.0;44;49;1;0.2;0.2;0.76500344;0.76500344;0.6300048828125;96;0.44444445;0.44444445;1;0;0;0;1
125.0;7;2;1;0.2;0.4;0.0021400382;0.0042800764;0.00176239013671875;23;0.106481485;0.21296297;0;0;0;4;1
126.0;6;2;1;0.5;0.5;0.2918239;0.2918239;0.00177001953125;23;0.184;0.184;0;0;0;2;1
126.0;47;46;1;0.5;0.5;0.7081761;0.7081761;0.00429534912109375;102;0.816;0.816;1;0;0;0;1
127.0;42;49;1;0.33333334;1.0;0.0;1.0;0.0;96;0.33333334;1.0;1;0;0;1;1
127.0;45;49;1;0.33333334;1.0;0.0;1.0;0.0;96;0.33333334;1.0;1;0;0;0;1
127.0;48;49;1;0.33333334;1.0;1.0;1.0;0.3000030517578125;96;0.33333334;1.0;1;0;0;1;1
128.0;47;46;1;0.125;0.125;0.001968118;0.001968118;0.0042877197265625;102;0.21030928;0.21030928;1;0;0;0;1
128.0;41;36;1;0.125;0.125;0.001975122;0.001975122;0.004302978515625;102;0.21030928;0.21030928;1;0;0;0;1
128.0;39;49;1;0.125;0.125;0.23868857;0.23868857;0.5200042724609375;96;0.19793814;0.19793814;1;0;0;1;1
128.0;1;32;1;0.125;0.625;0.0045876056;0.7573682;0.0099945068359375;37;0.07628866;0.3814433;0;0;0;6;1
128.0;2;32;1;0.125;0.625;0.032134254;0.7573682;0.07000732421875;37;0.07628866;0.3814433;0;0;0;6;1
128.0;9;32;1;0.125;0.625;0.018357428;0.7573682;0.0399932861328125;37;0.07628866;0.3814433;0;0;0;3;1
128.0;13;32;1;0.125;0.625;0.009182216;0.7573682;0.0200042724609375;37;0.07628866;0.3814433;0;0;0;2;1
128.0;15;32;1;0.125;0.625;0.6931067;0.7573682;1.5099945068359375;37;0.07628866;0.3814433;0;0;0;3;1
129.0;15;32;1;1.0;1.0;1.0;1.0;1.5099945068359375;37;1.0;1.0;0;0;0;4;1
130.0;34;49;1;0.5;0.5;0.9963261;0.9963261;0.480010986328125;96;0.8067227;0.8067227;1;0;0;1;1
130.0;8;4;1;0.5;0.5;0.003673909;0.003673909;0.00177001953125;23;0.19327731;0.19327731;0;0;0;2;1
131.0;47;46;2;1.0;1.0;1.0;1.0;0.00860595703125;204;1.0;1.0;2;0;0;0;1
132.0;11;7;1;0.22222222;0.11111111;0.17884213;0.0075143753;0.0017547607421875;23;0.20618556;0.0790378;0;0;0;1;1
132.0;9;10;1;0.11111111;0.22222222;0.007579718;0.007579718;0.00177001953125;23;0.0790378;0.1580756;0;0;0;1;1
132.0;4;32;1;0.11111111;0.6666667;0.042799268;0.9849059;0.0099945068359375;37;0.12714776;0.7628866;0;0;0;6;1
132.0;5;32;1;0.11111111;0.6666667;0.08566388;0.9849059;0.0200042724609375;37;0.12714776;0.7628866;0;0;0;5;1
132.0;7;32;1;0.11111111;0.6666667;0.12846315;0.9849059;0.029998779296875;37;0.12714776;0.7628866;0;0;0;5;1
132.0;13;10;1;0.11111111;0.22222222;0.0;0.007579718;0.0;23;0.0790378;0.1580756;0;0;0;1;1
132.0;10;32;1;0.11111111;0.6666667;0.042799268;0.9849059;0.0099945068359375;37;0.12714776;0.7628866;0;0;0;5;1
132.0;11;32;1;0.22222222;0.6666667;0.17884213;0.9849059;0.040008544921875;37;0.20618556;0.7628866;0;0;0;3;1
132.0;15;32;1;0.11111111;0.6666667;0.5138526;0.9849059;0.1199951171875;37;0.12714776;0.7628866;0;0;0;5;1
133.0;13;10;1;0.33333334;0.33333334;0.0007462879;0.0007462879;0.00177001953125;23;0.10697675;0.10697675;0;0;0;2;1
133.0;38;49;1;0.33333334;0.6666667;0.13070332;0.9992537;0.30999755859375;96;0.44651163;0.89302325;1;0;0;0;1
133.0;46;49;1;0.33333334;0.6666667;0.8685504;0.9992537;2.05999755859375;96;0.44651163;0.89302325;1;0;0;0;1
135.0;30;16;3;1.0;1.0;1.0;1.0;0.012603759765625;297;1.0;1.0;0;0;3;0;1
136.0;30;16;2;0.14285715;0.14285715;0.015423729;0.015423729;0.008331298828125;196;0.23389022;0.23389022;0;0;2;0;1
136.0;12;8;1;0.071428575;0.071428575;0.0032768361;0.0032768361;0.00177001953125;23;0.0274463;0.0274463;0;0;0;1;1
